time, KORIDOR 1 , KORIDOR 2 , KORIDOR 3 , KORIDOR 4 , KORIDOR 5 , KORIDOR 6 , KORIDOR 7 , KORIDOR 8 , KORIDOR 9 , KORIDOR 10 , KORIDOR 11 , KORIDOR 12 
17-Jan,2036785,607830,851314,510794,831301,847222,782386,778860,1209820,577798,235949,163190
17-Feb,1807291,532369,765433,462510,706965,769846,669715,713028,1116693,520761,215517,148744
17-Mar,2080351,628796,896030,592404,831005,932833,765291,810981,1226031,613180,249833,178268
17-Apr,1921310,594534,846755,526514,756120,837117,699967,731000,1095176,555744,233072,167430
17-May,2008194,610336,880025,562360,773419,892283,736200,761373,1166608,589174,239869,176003
17-Jun,1620960,526191,723457,418783,647702,695913,625421,620723,938837,477749,203905,159727
17-Jul,1975890,600599,864862,515520,756251,876799,732009,746036,1136418,581443,255966,196185
17-Aug,2163547,643411,925769,561011,806659,842411,731284,807381,1222070,607332,236523,189895
17-Sep,1978878,605965,882664,581876,753464,748669,730521,758228,1128775,582992,224261,172351
17-Oct,2273026,722622,1007177,687498,929595,841837,849753,854479,1282090,693280,281670,196713
17-Nov,2235073,707263,1000254,670535,899875,801598,825750,836879,1260354,686662,272235,191745
17-Dec,2155753,719001,975647,593750,904853,749949,818224,819736,1173355,637622,268461,184227
18-Jan,2110653,727412,876054,566711,817731,748579,778080,786003,1225146,618724,233839,177480
18-Feb,1888389,645058,806458,500384,710739,668350,675731,720484,1113628,552451,201817,158413
18-Mar,2110565,728467,917855,639055,821143,777615,777300,822360,1251047,633982,230071,176720
18-Apr,2153237,733767,927305,637575,806797,792080,773122,818302,1299099,645660,234544,181107
18-May,1947219,698791,862036,590057,758208,766754,751942,791687,1216338,610094,218544,168982
18-Jun,1582151,589740,708289,416546,688928,642228,679976,643353,942449,505470,208176,173439
18-Jul,2257841,780104,929471,628194,857596,897646,831151,882102,1349148,682518,253862,191122
18-Aug,2410214,803391,951115,615234,876168,880233,828077,914569,1388129,678525,251801,202428
18-Sep,2303955,807199,983994,678289,900190,894954,875210,922440,1397333,724443,257774,200447
18-Oct,2417012,826971,1022651,768137,953957,987553,929499,980404,1506037,797235,269748,215032
18-Nov,2417012,826971,1022651,768137,953957,987553,929499,980404,1506037,797235,269748,215032
18-Dec,2211089,772724,971746,712849,899069,936661,877490,915272,1411899,752146,258418,200900
19-Jan,2223257,781605,919200,669417,890939,976411,872467,911731,1408962,737123,267869,208326
19-Feb,1992685,689898,849307,571404,793867,878813,778593,840084,1269564,660344,233418,189321
19-Mar,2334201,792477,969851,719166,899931,963201,903702,982084,1422880,754684,265240,217568
19-Apr,2207527,752528,917720,672542,866033,916055,882899,962541,1347706,714008,262601,200059
19-May,2031443,785449,928185,698444,926056,898688,913161,976372,1382629,751396,285389,217891
19-Jun,2042807,715613,838896,613074,914052,847643,911756,877701,1179321,680153,285162,259603
19-Jul,2612456,921613,1045636,809767,1093594,1089572,1046570,1097511,1551003,857285,337129,258775
19-Aug,2436733,889636,1044886,765042,1049104,1025476,999683,1074045,1506442,821742,329618,252597
19-Sep,2491625,901232,1084451,855969,1087309,1063009,1041480,1107208,1505715,851844,335932,264535
19-Oct,2491625,901232,1084451,855969,1087309,1063009,1041480,1107208,1505715,851844,335932,264535
19-Nov,2533287,938282,1153406,917170,1175092,1124575,1116233,1166396,1620429,915165,359276,284908
19-Dec,2686458,936927,1127029,784864,1161894,1089313,1109984,1140845,1562871,872266,367451,303913
